date,value,precip,windmax,windmaxdir,rhhi,temphi,templo,avgtemp
2023-07-30,35012284.0,81.74,19.39472,318.9261,89.901287,30.75108,25.63963,28.2
2023-07-31,35130652.0,81.74,15.53416,323.3365,85.714322,32.22231,25.78148,29.0
2023-08-01,34610806.0,0.0,12.64455,325.2491,83.575641,32.49423,25.85813,29.18
2023-08-02,34867387.0,7.7,11.44148,327.4827,85.615899,33.12472,25.78762,29.46
2023-08-03,34983378.0,2.89,13.73449,329.8109,84.18524,34.12896,27.20435,30.67
2023-08-04,35604464.0,16.78,12.10568,332.5466,75.721428,34.63091,27.63083,31.13
2023-08-05,35939614.0,73.34,8.56,335.4617,86.265997,34.63181,26.14397,30.39
2023-08-06,34529768.0,89.3,13.14271,338.5111,82.995903,32.51138,23.19025,27.85
2023-08-07,35138088.0,0.0,11.98082,341.8627,85.006028,30.24176,22.17047,26.21
2023-08-08,36329609.0,0.0,8.10392,345.6099,79.472776,31.0985,22.96225,27.03
2023-08-09,36362565.0,0.0,9.39918,280.285,75.493896,32.41421,23.22433,27.82
2023-08-10,36569759.0,0.0,11.79312,199.7076,70.499789,32.62716,23.35023,27.99
2023-08-11,36811838.0,0.0,10.26511,187.7465,68.81843,33.52574,23.44904,28.49
2023-08-12,37976858.0,76.23,11.77043,66.0293,81.994165,33.04931,24.07844,28.56
2023-08-13,36349457.0,46.97,10.30749,231.9422,80.37121,31.68955,23.30157,27.5
2023-08-14,36397154.0,0.0,7.95495,301.409,75.359022,31.81382,22.71745,27.27
2023-08-15,36882745.0,0.0,6.02481,289.6385,73.666915,32.56223,23.50939,28.04
2023-08-16,36776430.0,0.0,6.70746,285.6976,70.19498,33.65257,23.90444,28.78
2023-08-17,36803411.0,0.0,5.54414,257.5761,71.219934,33.86323,24.96727,29.42
2023-08-18,37156522.0,5.46,6.29752,267.3662,75.594404,33.80401,25.57615,29.69
2023-08-19,36678660.0,34.66,7.08428,264.9413,74.547291,33.2733,25.51386,29.39
2023-08-20,35981627.0,55.88,8.2852,251.3201,78.343922,32.80197,25.20358,29.0
2023-08-21,37128549.0,101.32,7.17237,258.4367,87.45253,30.83816,23.63631,27.24
2023-08-22,36465779.0,22.97,8.74391,250.8006,77.094246,32.08208,22.33606,27.21
2023-08-23,36154775.0,0.0,8.53154,261.2561,70.416894,31.64053,21.30942,26.47
2023-08-24,36460276.0,22.35,7.21793,279.6775,74.273315,30.19875,21.69827,25.95
2023-08-25,36705035.0,5.22,7.76533,282.2009,73.977874,29.8535,21.20604,25.53
2023-08-26,37068544.0,81.74,10.39818,289.7811,77.108231,29.80282,21.05058,25.43
2023-08-27,36407691.0,101.32,14.59772,272.3326,88.96719,26.7783,19.60584,23.19
2023-08-28,36465883.0,63.88,20.52699,280.522,80.711388,25.27692,18.52665,21.9
2023-08-29,35430273.0,0.0,13.71505,279.4372,73.088158,28.18242,18.88652,23.53
2023-08-30,35014014.0,0.0,6.86931,224.243,70.740699,28.71046,18.51968,23.62
2023-08-31,35146106.0,6.56,9.37092,104.0686,72.189902,29.99183,19.3754,24.68
2023-09-01,35425239.0,6.56,6.60984,222.1557,77.122454,30.28878,21.52912,25.91
2023-09-02,35671293.0,0.0,6.82869,211.3562,74.509914,29.87498,21.06195,25.47
2023-09-03,35124177.0,0.0,7.98252,161.2336,72.241578,30.63414,21.29498,25.96
2023-09-04,36297798.0,4.91,5.98905,234.3475,72.551057,31.42959,21.46738,26.45
2023-09-05,37041876.0,0.0,7.91885,260.6129,71.778654,31.52822,21.16506,26.35
2023-09-06,37073310.0,0.0,7.55849,251.4144,74.794569,31.38391,21.04912,26.22
2023-09-07,37001463.0,0.0,6.12685,244.8381,70.620033,32.05563,20.9869,26.52
2023-09-08,37170151.0,0.0,7.7537,235.7716,69.145276,31.77858,21.58109,26.68
2023-09-09,36980901.0,18.27,8.33304,255.947,68.562276,30.99482,21.74962,26.37
2023-09-10,36471605.0,76.73,6.07563,247.7094,73.632447,29.65446,21.88866,25.77
2023-09-11,37436851.0,40.59,5.41295,135.3966,77.820206,29.8068,22.10456,25.96
2023-09-12,38011774.0,101.32,8.31706,260.5514,86.440413,28.1265,20.56374,24.35
2023-09-13,36848387.0,24.31,11.16045,267.4469,69.50612,27.96654,18.0694,23.02
2023-09-14,36024497.0,0.0,8.19259,264.3359,59.462346,29.16449,17.15704,23.16
2023-09-15,36312588.0,0.0,6.82413,244.1856,67.196551,29.07443,17.57863,23.33
2023-09-16,36304077.0,0.0,5.6417,308.5088,66.041018,29.70091,18.62715,24.16
2023-09-17,35458794.0,0.0,6.66681,125.6763,67.303411,30.44029,19.37265,24.91
2023-09-18,36859382.0,59.48,8.25407,63.413,68.788511,32.12521,22.3888,27.26
2023-09-19,38165860.0,101.32,10.01277,239.8768,89.389074,27.04479,20.46974,23.76
2023-09-20,36444590.0,22.97,17.80587,204.7837,64.49003,25.56665,18.46613,22.02
2023-09-21,36656629.0,0.0,7.32699,190.1501,59.764164,26.63517,17.24158,21.94
